age	immune	type	scaled
32	0.001326359294	ppo	0.000326032326656381
32	0.0008866272522	ppo	0.000217941810502908
36	0.000425050945	ppo	0.000104481756318016
36	0.0008017769639	ppo	0.000197084764424176
44	0.000743712095	ppo	0.000182811841250114
44	0.0006922731759	ppo	0.000170167642539608
23	0.0004765710265	ppo	0.00011714590555492
23	0.0002694310485	ppo	0.0000662288355902478
41	0.001794949538	ppo	0.000441216476374263
37	0.002097374546	ppo	0.000515555555870557
25	0.0001071140696	ppo	0.0000263297052972748
25	0.0001864524687	ppo	0.0000458318741053636
46	0.00130808226	ppo	0.000321539649637149
53	0.001784399728	ppo	0.000438623227987011
46	0.003145002949	ppo	0.000773073053012171
48	0.002494032218	ppo	0.000613057962852797
25	0.0006257965009	ppo	0.000153827013634097
25	0.0004643946032	ppo	0.000114152819415433
23	NA	ppo	NA
23	0.00003360494839	ppo	0.00000826043106141894
24	0.0007712594511	ppo	0.000189583255785484
26	NA	ppo	NA
26	0.0007947096614	ppo	0.000195347551070537
26	NA	ppo	NA
26	0.000685	ppo	0.000168379823453494
35	NA	ppo	NA
36	0.002251732467	ppo	0.000553498270449577
36	0.000324782341	ppo	0.0000798347346545875
38	0.001278242381	ppo	0.000314204710136575
22	0.0002008356523	ppo	0.0000493674039086734
22	0.0004915888274	ppo	0.000120837430612149
33	0.0000687	ppo	0.0000168871443375986
33	0.000019	ppo	0.00000467038926367355
25	0.001150869258	ppo	0.000282895127708166
25	NA	ppo	NA
31	0.000300319586	ppo	0.0000738215457960677
31	0.0001550399072	ppo	0.0000381103535804118
38	0.003064251413	ppo	0.000753223521077458
30	0.002727273053	ppo	0.000670390883465126
39	0.001700837061	ppo	0.00041808269205013
27	0.0000881	ppo	0.0000216558575857705
27	0.001348185289	ppo	0.000331397373641485
29	0.0009644680956	ppo	0.000237075865202417
29	0.0006119236022	ppo	0.00015041691694228
30	0.0000472	ppo	0.0000116022301708101
30	0.0004564855062	ppo	0.000112208684588372
15	0.0001824227284	ppo	0.0000448413237983893
15	0.00002302645453	ppo	0.00000566013189565154
43	0.0009829637231	ppo	0.000241622274681412
43	0.001144639898	ppo	0.000281363888967978
56	0.002843815026	ppo	0.000699038061331785
56	0.002951423985	ppo	0.000725489415373295
20	0.0006019236069	ppo	0.000147958818485127
20	0.0004350979692	ppo	0.000106951414947255
30	0.0003554991	ppo	0.0000873852199939795
30	0.001014850412	ppo	0.000249460340444183
40	0.0001860034372	ppo	0.0000457214976897504
36	0.0004063979184	ppo	0.0000998966565723495
43	0.00005953894852	ppo	0.0000146352666283274
43	NA	ppo	NA
40	0.0005877509618	ppo	0.000144475041142343
40	NA	ppo	NA
66	0.003080529096	ppo	0.000757224737704863
66	NA	ppo	NA
21	0.0003047137516	ppo	0.0000749016754719121
21	0.0002725085607	ppo	0.0000669853187448638
33	NA	ppo	NA
33	0.0000437	ppo	0.0000107418953064492
47	0.001687566503	ppo	0.000414820656702438
47	0.002324317089	ppo	0.00057134029357045
37	0.0002869573335	ppo	0.0000705369710268837
37	NA	ppo	NA
48	0.001274673491	ppo	0.000313327441423983
48	0.0005978053078	ppo	0.000146946499542957
50	0.0006234193188	ppo	0.000153242678594221
50	0.001882467883	ppo	0.000462729357367025
52	0.003648433884	ppo	0.000896821391634547
52	0.003563425076	ppo	0.0008759253798345
59	0.004044169744	ppo	0.00099409720804479
59	0.004296599381	ppo	0.0010561469273331
