id	pair	colony	nestid	task	rickia	lvl_inf	age	switch	plate	po	ppo	head_len	head_wid
15D.2.N	88	15	4	intranidal	1	16.1	47		5	0.00009760910169	0.002324317089	908.19	814.6
18A.16.F	40	18	1	forager	0	0	37	36	3	0.000243047725	0.0002869573335	1009.24	867.62
18A.18.N	40	18	1	intranidal	0	0	37		3	5.50E-05	NA	944.76	867.62
18A.4.F	63	18	1	forager	0	0	48	47	4	0.00005581378405	0.001274673491	1056.85	921.07
18A.5.N	63	18	1	intranidal	0	0	48		4	0.00009350651296	0.0005978053078	1028.25	881.72
18A.7.F	68	18	1	forager	0	0	50	48	5	0.00003867843199	0.0006234193188	1016.72	763.55
18A.8.N	68	18	1	intranidal	0	0	50		5	9.02E-05	0.001882467883	1028.88	850.21
18A.15.F	87	18	1	forager	0	0	52	50	1	0.0005021836527	0.003648433884	1058.25	948.94
18A.19.N	87	18	1	intranidal	0	0	52		1	0.0003122452707	0.003563425076	1019.68	944.65
18A.14.F	100	18	1	forager	0	0	59	52	3	0.0001250302533	0.004044169744	1055.81	915.81
18A.11.N	100	18	1	intranidal	0	0	59		3	NA	0.004296599381	1065.97	978.54
18B.22.F	4	18	2	forager	0	0	13	10	1	2.71E-05	0.00008740633939	1065.34	929.97
18B.24.N	4	18	2	intranidal	0	0	13		2	0.000209560564	0.001203607148	1061.05	926.4
18B.14.F	10	18	2	forager	0	0	19	14	2	NA	0.0001106965535	1053.06	911.68
18B.12.N	10	18	2	intranidal	0	0	19		1	7.80E-05	0.000672750632	1075.24	968.54
18B.2.F	19	18	2	forager	0	0	26	24	1	1.22E-04	0.0009860960554		
18B.3.N	19	18	2	intranidal	0	0	26		1	3.33E-05	0.0002731927207	997.41	865.81
18B.10.F	102	18	2	forager	0	0	60	49	3	0.00004330211113	0.002453169455	963.83	844.76
18B.20.N	102	18	2	intranidal	0	0	60		3	NA	0.004182062679	1010.53	901.3
18B.6.F	103	18	2	forager	0	0	60	48	3	0.0002393569024	0.005461531372	1099.15	972.97
18B.17.N	103	18	2	intranidal	0	0	60		3	6.00E-05	0.002888078382	1059.6	912.73
18C.9.F	34	18	3	forager	0	0	30	28	1	6.12E-05	0.0010417988	1091.67	950.3
18C.15.N	34	18	3	intranidal	0	0	30		1	4.29E-05	0.001081535032	1083.32	954.23
18C.14.F	71	18	3	forager	0	0	40	28	3	NA	0.0003711950798	1050.04	951.11
18C.12.N	71	18	3	intranidal	0	0	40		3	NA	NA	1041.63	890.32
18C.19.F	81	18	3	forager	0	0	46	18	4	0.00001329711684	0.0003403190684	1135.65	991.03
18C.18.N	81	18	3	intranidal	0	0	46		4	0.00002764166899	0.0003926969785	1050.57	919.97
18D.2.F	45	18	4	forager	0	0	34	33	2	2.30E-05	0.0003589926989	1053.3	903.85
18D.8.N	45	18	4	intranidal	0	0	34		2	NA	NA	995.17	830.75
1A.14.F	3	1	1	forager	0	0	14	11	1	NA	0.000136485109	1078.81	958.47
1A.21.N	3	1	1	intranidal	0	0	14		1	0.00001285768711	0.0002550876732	1006.56	878.64
1A.23.F	46	1	1	forager	0	0	36	27	2	NA	0.0005868223945	1050.24	952.74
1A.11.N	46	1	1	intranidal	0	0	36		2	0.0002034573036	0.001007980821	1070.31	912.87
1A.24.F	99	1	1	forager	0	0	56	31	2	0.0004285370266	0.003735061324	1059.89	918.31
1A.19.N	99	1	1	intranidal	0	0	56		2	0.0002911156024	0.004647125608	1045.25	920.59
1B.4.F	84	1	2	forager	0	0	48	30	5	0.00009537435788	0.001077786327	1043.2	939.69
1B.7.N	84	1	2	intranidal	0	0	48		5	NA	0.0004644908941	1034.49	908.74
1C.16.F	11	1	3	forager	0	0	13	10	1	NA	0.0002744597531	990.03	852.71
1C.17.N	11	1	3	intranidal	0	0	13		1	6.11E-05	0.0001430555263	983.71	855.37
1C.4.F	42	1	3	forager	0	0	31	24	1	0.0001724205726	0.001480168708	979.28	870.45
1C.7.N	42	1	3	intranidal	0	0	31		1	NA	0.0005097372114	1044.44	916.86
1C.22.F	111	1	3	forager	0	0	58	49	2	5.90E-05	0.002307568206	1041.16	911.63
1C.12.N	111	1	3	intranidal	0	0	58		2	8.72E-05	0.002931666195	1073.68	959.49
1D.11.F	83	1	4	forager	0	0	42	29	4	0.00002791069968	0.0007081401796	1080.12	951.07
